item_type,item_id,doi_or_source,statement_or_entity,locator,decision,corrected_value,reviewer,review_status,notes
method_rule,rule-preserve-variable-semantics,https://cfconventions.org/cf-conventions/cf-conventions.html,"Before combining atmospheric data, reconcile variable definition, physical units, coordinates, calendar, time reference, sign convention, support, and aggregation interval.",Sections 3-4: units and coordinate systems,,,,pending_expert_review,
method_rule,rule-time-calendar-explicit,https://cfconventions.org/cf-conventions/cf-conventions.html,"A time coordinate comparison must preserve the reference datetime, calendar, time zone or UTC basis, and whether values are instantaneous, averaged, or accumulated.",Section 4.4: Time coordinate,,,,pending_expert_review,
method_rule,rule-retrieval-not-direct-measurement,https://ceos.org/ourwork/workinggroups/wgcv/,"A remotely retrieved geophysical variable must be described separately from the instrument signal and must carry retrieval assumptions, priors, ancillary inputs, sensitivity, and quality screening.",Calibration and validation principles,,,,pending_expert_review,
method_rule,rule-reference-has-uncertainty,https://ceos.org/ourwork/workinggroups/wgcv/,"Validation must not treat the reference dataset or instrument as error-free; its uncertainty, representativeness, support, and shared inputs must be included in interpretation.",Validation and reference measurement principles,,,,pending_expert_review,
method_rule,rule-forecast-baseline-named,https://wmo.int/media/news/wmo-issues-guidelines-verification-of-hydrological-forecasts,"A forecast skill or improvement claim must name the forecast object, verification sample, metric orientation, baseline, and uncertainty.",Forecast verification framework and methods,,,,pending_expert_review,
method_rule,rule-ensemble-dependence,https://wmo.int/files/cst-climate-prediction,"Ensemble members, related models, overlapping forecast windows, repeated stations, and spatial samples must not be treated as independent without a defensible dependence model.",Forecast verification and uncertainty guidance,,,,pending_expert_review,
method_rule,rule-correlation-not-causation,https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-1/,"An association or predictive relationship does not establish a causal effect without an explicit estimand, identification assumptions, confounder strategy, and sensitivity analysis.",Section 1.4: construction and assessment of knowledge,,,,pending_expert_review,
method_rule,rule-model-configuration-complete,10.5194/gmd-13-1179-2020,"A model comparison must report version, grid and effective resolution, vertical coordinate, forcing, initialization, boundary conditions, parameterizations, ensemble design, post-processing, and verification data when relevant.",Technical overview and provenance framework,,,,pending_expert_review,
method_rule,rule-data-provenance-reusable,10.1038/sdata.2016.18,"Research data, code, and workflows should use persistent identifiers, rich metadata, qualified links, licenses, provenance, and domain standards sufficient for discovery and reuse.",Box 2: FAIR Guiding Principles,,,,pending_expert_review,
method_rule,rule-claim-scope-bounded,https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-1/,"A conclusion must remain bounded by the sampled region, period, atmospheric regime, scale, study design, data coverage, and quantified uncertainty.",Uncertainty and calibrated assessment language,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jtech-d-15-0135-1-wrf,10.1175/jtech-d-15-0135.1,WRF,PDF page 10,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jcli-d-17-0087-1-cmip6,10.1175/jcli-d-17-0087.1,CMIP6,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-wcd-2-331-2021-era-interim,10.5194/wcd-2-331-2021,ERA-Interim,PDF page 4,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-cp-16-847-2020-cmip5,10.5194/cp-16-847-2020,CMIP5,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-waf-d-17-0023-1-gfs,10.1175/waf-d-17-0023.1,GFS,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-gmd-14-1037-2021-modis,10.5194/gmd-14-1037-2021,MODIS,PDF page 9,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s10546-021-00659-5-gfs,10.1007/s10546-021-00659-5,GFS,PDF page 9,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jhm-d-16-0198-1-gpm,10.1175/jhm-d-16-0198.1,GPM,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-gmd-11-5027-2018-cesm,10.5194/gmd-11-5027-2018,CESM,PDF page 6,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jas-d-17-0264-1-wrf,10.1175/jas-d-17-0264.1,WRF,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s00382-020-05181-x-cmip5,10.1007/s00382-020-05181-x,CMIP5,PDF page 15,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jcli-d-19-0084-1-cmip5,10.1175/jcli-d-19-0084.1,CMIP5,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-4209-aaqr-2016-08-0350-wrf-chem,10.4209/aaqr.2016.08.0350,WRF-Chem,PDF page 13,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jcli-d-18-0843-1-cesm,10.1175/jcli-d-18-0843.1,CESM,PDF page 4,,,,pending_expert_review,
