doi,title,year,journal,predicted_themes,gold_themes,reviewer,review_status,notes
https://doi.org/10.5194/acp-19-6125-2019,Dominant role of emission reduction in PM 2.5 air quality improvement in Beijing during 2013–2017: a model-based decomposition analysis,2019,Atmospheric Chemistry and Physics,forecasting-predictability;atmospheric-chemistry;aerosols;air-quality-exposure,,,pending_human_review,
https://doi.org/10.5194/cp-14-39-2018,Tropical Atlantic climate and ecosystem regime shifts during the Paleocene–Eocene Thermal Maximum,2018,Climate of the Past,ocean-atmosphere,,,pending_human_review,
https://doi.org/10.1002/qj.2822,Improvement of the forecast of convective activity from the AROME‐France system,2016,Quarterly Journal of the Royal Meteorological Society,forecasting-predictability;cloud-precipitation-microphysics;observations-instruments;climate-variability-change,,,pending_human_review,
https://doi.org/10.1002/met.70043,Science–policy–practice insights for compound and multi‐hazard risks,2025,Meteorological Applications,atmospheric-chemistry,,,pending_human_review,
https://doi.org/10.1002/joc.7269,Evaluation of daily precipitation analyses in E‐OBS (v19.0e) and ERA5 by comparison to regional high‐resolution datasets in European regions,2021,International Journal of Climatology,cloud-precipitation-microphysics;observations-instruments;climate-variability-change,,,pending_human_review,
https://doi.org/10.1007/s10546-016-0183-4,Conditionally Averaged Large-Scale Motions in the Neutral Atmospheric Boundary Layer: Insights for Aeolian Processes,2016,Boundary-Layer Meteorology,dynamics-weather-systems;boundary-layer-turbulence,,,pending_human_review,
https://doi.org/10.1002/qj.3200,"The evolution, seasonality and impacts of western disturbances",2017,Quarterly Journal of the Royal Meteorological Society,cloud-precipitation-microphysics;aerosols;climate-variability-change;land-atmosphere,,,pending_human_review,
https://doi.org/10.1175/jhm-d-18-0017.1,Soil Moisture Drought in Europe: A Compound Event of Precipitation and Potential Evapotranspiration on Multiple Time Scales,2018,Journal of Hydrometeorology,dynamics-weather-systems;cloud-precipitation-microphysics;climate-variability-change;extremes;hydrometeorology;land-atmosphere,,,pending_human_review,
https://doi.org/10.1175/bams-d-15-00268.1,Stochastic Parameterization: Toward a New View of Weather and Climate Models,2016,Bulletin of the American Meteorological Society,dynamics-weather-systems;climate-variability-change;model-evaluation-downscaling,,,pending_human_review,
https://doi.org/10.1002/asl.1041,Changes in snow depth under elevation‐dependent warming over the Tibetan Plateau,2021,Atmospheric Science Letters,dynamics-weather-systems;observations-instruments;climate-variability-change,,,pending_human_review,
https://doi.org/10.1002/joc.4986,High‐resolution precipitation mapping in a mountainous watershed: ground truth for evaluating uncertainty in a national precipitation dataset,2017,International Journal of Climatology,cloud-precipitation-microphysics;observations-instruments;extremes;hydrometeorology;quality-control-uncertainty,,,pending_human_review,
https://doi.org/10.1002/asl.671,Trends in extreme precipitation indices across China detected using quantile regression,2016,Atmospheric Science Letters,cloud-precipitation-microphysics;observations-instruments;climate-variability-change;extremes;hydrometeorology,,,pending_human_review,
https://doi.org/10.5194/acp-17-935-2017,MIX: a mosaic Asian anthropogenic emission inventory under the international collaboration framework of the MICS-Asia and HTAP,2017,Atmospheric Chemistry and Physics,dynamics-weather-systems;atmospheric-chemistry;aerosols;air-quality-exposure;climate-variability-change,,,pending_human_review,
https://doi.org/10.1175/jcli-d-19-0993.1,Understanding Future Change of Global Monsoons Projected by CMIP6 Models,2020,Journal of Climate,dynamics-weather-systems;climate-variability-change;earth-system-models,,,pending_human_review,
https://doi.org/10.1175/jtech-d-15-0097.1,Improvements in Detection of Light Precipitation with the Global Precipitation Measurement Dual-Frequency Precipitation Radar (GPM DPR),2016,Journal of Atmospheric and Oceanic Technology,cloud-precipitation-microphysics;remote-sensing-retrieval;observations-instruments;hydrometeorology;land-atmosphere,,,pending_human_review,
https://doi.org/10.5194/acp-16-3761-2016,"Ice melt, sea level rise and superstorms: evidence from paleoclimate data, climate modeling, and modern observations that 2 °C global warming could be dangerous",2016,Atmospheric Chemistry and Physics,dynamics-weather-systems;atmospheric-chemistry;observations-instruments;climate-variability-change;paleoclimate,,,pending_human_review,
https://doi.org/10.1175/jtech-d-15-0019.1,The Use of Ship-Launched Fixed-Wing UAVs for Measuring the Marine Atmospheric Boundary Layer and Ocean Surface Processes,2016,Journal of Atmospheric and Oceanic Technology,dynamics-weather-systems;boundary-layer-turbulence;remote-sensing-retrieval;ocean-atmosphere,,,pending_human_review,
https://doi.org/10.5194/wcd-2-819-2021,Oceanic moisture sources contributing to wintertime Euro-Atlantic blocking,2021,Weather and Climate Dynamics,dynamics-weather-systems;climate-variability-change,,,pending_human_review,
https://doi.org/10.1029/2018ef001113,China's Urban Methane Emissions From Municipal Wastewater Treatment Plant,2019,Earth's Future,atmospheric-chemistry;land-atmosphere,,,pending_human_review,
https://doi.org/10.1080/16000889.2020.1803708,"Aerosol carbonaceous, elemental and ionic composition variability and origin at the Siberian High Arctic, Cape Baranova",2020,Tellus B: Chemical and Physical Meteorology,dynamics-weather-systems;atmospheric-chemistry;aerosols,,,pending_human_review,
https://doi.org/10.1002/asl.957,Influence of aerosols on lightning activities in central eastern parts of China,2020,Atmospheric Science Letters,cloud-precipitation-microphysics;aerosols,,,pending_human_review,
https://doi.org/10.1175/jamc-d-15-0338.1,Connecting Microphysical Processes in Colorado Winter Storms with Vertical Profiles of Radar Observations,2016,Journal of Applied Meteorology and Climatology,dynamics-weather-systems;cloud-precipitation-microphysics;aerosols;remote-sensing-retrieval;observations-instruments,,,pending_human_review,
https://doi.org/10.1002/2017gl073426,An Argo mixed layer climatology and database,2017,Geophysical Research Letters,climate-variability-change;ocean-atmosphere,,,pending_human_review,
https://doi.org/10.1016/j.atmosenv.2016.03.017,Non-exhaust PM emissions from electric vehicles,2016,Atmospheric Environment,air-quality-exposure,,,pending_human_review,
https://doi.org/10.1175/waf-d-18-0012.1,An Operational Rapid Intensification Prediction Aid for the Western North Pacific,2018,Weather and Forecasting,dynamics-weather-systems;forecasting-predictability;climate-variability-change,,,pending_human_review,
https://doi.org/10.5194/gmd-9-3975-2016,Automatic delineation of geomorphological slope units with r.slopeunits v1.0 and their optimization for landslide susceptibility modeling,2016,Geoscientific Model Development,observations-instruments;land-atmosphere,,,pending_human_review,
https://doi.org/10.1029/2018ef000841,Twelve Questions for the Participatory Modeling Community,2018,Earth's Future,climate-variability-change,,,pending_human_review,
https://doi.org/10.1002/met.1887,Using social media to measure impacts of named storm events in the United Kingdom and Ireland,2020,Meteorological Applications,dynamics-weather-systems,,,pending_human_review,
https://doi.org/10.1080/16000889.2018.1443655,"Tree-ring stable carbon isotope-based June–September maximum temperature reconstruction since AD 1788, north-west Thailand",2018,Tellus B: Chemical and Physical Meteorology,climate-variability-change,,,pending_human_review,
https://doi.org/10.5194/acp-19-3515-2019,The CAMS reanalysis of atmospheric composition,2019,Atmospheric Chemistry and Physics,dynamics-weather-systems;atmospheric-chemistry;aerosols,,,pending_human_review,
https://doi.org/10.1038/s41612-018-0038-4,A signal-to-noise paradox in climate science,2018,npj Climate and Atmospheric Science,dynamics-weather-systems;climate-variability-change,,,pending_human_review,
https://doi.org/10.5194/gmd-13-5079-2020,The Making of the New European Wind Atlas – Part 2: Production and evaluation,2020,Geoscientific Model Development,unclassified,,,pending_human_review,
https://doi.org/10.1175/jamc-d-19-0304.1,Simulation of Flow Fields in Complex Terrain with WRF-LES: Sensitivity Assessment of Different PBL Treatments,2020,Journal of Applied Meteorology and Climatology,numerical-weather-prediction;climate-variability-change,,,pending_human_review,
https://doi.org/10.1175/mwr-d-16-0487.1,Sample Stratification in Verification of Ensemble Forecasts of Continuous Scalar Variables: Potential Benefits and Pitfalls,2017,Monthly Weather Review,forecasting-predictability,,,pending_human_review,
https://doi.org/10.5194/wcd-1-617-2020,Organization of convective ascents in a warm conveyor belt,2020,Weather and Climate Dynamics,unclassified,,,pending_human_review,
https://doi.org/10.1007/s10546-020-00522-z,Effects of Two-Dimensional Steep Hills on the Performance of Wind Turbines and Wind Farms,2020,Boundary-Layer Meteorology,unclassified,,,pending_human_review,
https://doi.org/10.1175/jas-d-17-0102.1,Exact Expression for the Lifting Condensation Level,2017,Journal of the Atmospheric Sciences,cloud-precipitation-microphysics;atmospheric-chemistry;aerosols,,,pending_human_review,
https://doi.org/10.1038/s41612-023-00529-6,Record-high Antarctic Peninsula temperatures and surface melt in February 2022: a compound event with an intense atmospheric river,2023,npj Climate and Atmospheric Science,dynamics-weather-systems;observations-instruments;climate-variability-change;extremes,,,pending_human_review,
https://doi.org/10.1038/s41612-020-0116-2,Sea-spray regulates sulfate cloud droplet activation over oceans,2020,npj Climate and Atmospheric Science,cloud-precipitation-microphysics;atmospheric-chemistry;aerosols,,,pending_human_review,
https://doi.org/10.1029/2018jd029598,"Validation, Stability, and Consistency of MODIS Collection 6.1 and VIIRS Version 1 Deep Blue Aerosol Data Over Land",2019,Journal of Geophysical Research: Atmospheres,cloud-precipitation-microphysics;atmospheric-chemistry;aerosols;quality-control-uncertainty,,,pending_human_review,
https://doi.org/10.5194/esd-12-1099-2021,Climate change impacts on solar power generation and its spatial variability in Europe based on CMIP6,2021,Earth System Dynamics,dynamics-weather-systems;atmospheric-radiation;climate-variability-change;earth-system-models,,,pending_human_review,
https://doi.org/10.1175/jhm-d-16-0195.1,Total and Extreme Precipitation Changes over the Northeastern United States,2017,Journal of Hydrometeorology,cloud-precipitation-microphysics;observations-instruments;climate-variability-change;extremes,,,pending_human_review,
https://doi.org/10.1002/met.1596,Evapotranspiration between satellite overpasses: methodology and case study in agricultural dominant semi-arid areas,2016,Meteorological Applications,dynamics-weather-systems;remote-sensing-retrieval;hydrometeorology;land-atmosphere,,,pending_human_review,
https://doi.org/10.1002/met.1817,Novel approaches for air temperature prediction: A comparison of four hybrid evolutionary fuzzy models,2019,Meteorological Applications,forecasting-predictability;hydrometeorology,,,pending_human_review,
